,Timestamp,Price
0,1483228800000.0,8.064789989459687
1,1483315200000.0,8.361286160728705
2,1483401600000.0,9.626792384988086
3,1483488000000.0,10.972252853086058
4,1483574400000.0,10.115254241883068
5,1483660800000.0,10.154658304812745
6,1483747200000.0,9.824278869463066
7,1483833600000.0,10.267836701334787
8,1483920000000.0,10.285955970375603
9,1484006400000.0,10.523650713762722
10,1484092800000.0,9.661693873756436
11,1484179200000.0,9.66715894243992
12,1484265600000.0,9.650805118856487
13,1484352000000.0,9.695262751794939
14,1484438400000.0,9.785923385543578
15,1484524800000.0,9.5212839167112
16,1484611200000.0,10.258458296131915
17,1484697600000.0,10.125537740945934
18,1484784000000.0,10.385306173596472
19,1484870400000.0,10.549960559535752
20,1484956800000.0,10.872633993948424
21,1485043200000.0,10.745356049118469
22,1485129600000.0,10.751024402450716
23,1485216000000.0,10.399087248402381
24,1485302400000.0,10.471671231503688
25,1485388800000.0,10.555255877288236
26,1485475200000.0,10.509979092454431
27,1485561600000.0,10.554962953815345
28,1485648000000.0,10.430442595335876
29,1485734400000.0,10.570411298387052
30,1485820800000.0,10.677298023363218
31,1485907200000.0,10.700989418222473
32,1485993600000.0,10.81046108694813
33,1486080000000.0,10.937685579154774
34,1486166400000.0,11.33331586102519
35,1486252800000.0,11.242238837962214
36,1486339200000.0,11.294016130984236
37,1486425600000.0,11.433167440255266
38,1486512000000.0,11.335153011135779
39,1486598400000.0,10.914963949831499
40,1486684800000.0,11.275640644361795
41,1486771200000.0,11.399125371500645
42,1486857600000.0,11.354164564644952
43,1486944000000.0,11.281947015245585
44,1487030400000.0,12.972145045966517
45,1487116800000.0,12.934716009243267
46,1487203200000.0,12.835968798993127
47,1487289600000.0,12.7034838481457
48,1487376000000.0,12.816285332013342
49,1487462400000.0,12.775445603327524
50,1487548800000.0,12.750223774537398
51,1487635200000.0,12.73614094049859
52,1487721600000.0,12.600296405431427
53,1487808000000.0,13.15516545737877
54,1487894400000.0,13.071871231178674
55,1487980800000.0,13.546938608109645
56,1488067200000.0,14.547676188997867
57,1488153600000.0,15.358690360839047
58,1488240000000.0,15.702781231900772
59,1488326400000.0,17.168029711638418
60,1488412800000.0,18.993581792674195
61,1488499200000.0,19.58574948053123
62,1488585600000.0,18.63867345258356
63,1488672000000.0,19.247364659986754
64,1488758400000.0,19.670705614004156
65,1488844800000.0,18.82733332066123
66,1488931200000.0,16.7497435780077
67,1489017600000.0,17.632128818481693
68,1489104000000.0,19.26359042821057
69,1489190400000.0,21.396413225585537
70,1489276800000.0,23.09884795827443
71,1489363200000.0,28.4460651994335
72,1489449600000.0,28.53666459127697
73,1489536000000.0,34.19736420741617
74,1489622400000.0,39.86185607085268
75,1489708800000.0,44.06729598863206
76,1489795200000.0,32.26798526618718
